Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A12,NIPT002,NIPT2_1FAM,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,856,10,846,0,10,10,836,0,,,,,,,,,,,,,,,,,,,,,,6869.33754882813,843.260081288944,913.658182545242,,,,,,,,,,,,,,,,,,
A12,NIPT002,NIPT2_1VIC,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,,,,,,856,10,846,0,10,10,836,0,,,,,,,,,,,,,,,,,,,,,,4642.47138671875,1205.2518381971,1245.40627217515,,,,,,,,,,,,,,,,,,
B12,NIPT002,NIPT2_1FAM,16.1402206420898,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,322.804412841797,,,18.4136829376221,13.8711442947388,14238,194,14044,4,190,223,13821,0.0772089504565067,,,,,,,,,,,NIPT2_1VIC,0.853623387525822,,,1.01721244149681,0.690034333554837,46.0516086099464,,,50.8127517688786,41.2904654510142,7197.3639633336,581.282971429132,671.430443857099,,,,,17.2996025085449,14.9819822311401,,,,,,,0.937087124869113,0.770159650182531,,,48.4807613706281,43.6224558492647
B12,NIPT002,NIPT2_1VIC,18.9078941345215,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,378.157897949219,,,21.3702201843262,16.4507122039795,14238,227,14011,4,190,223,13821,0.0772089504565067,,,,,,,,,,,,,,,,,,,,,,4364.35447820588,1078.34015794754,1130.72990725914,,,,,20.1635398864746,17.6535892486572,,,,,,,,,,,,
C12,NIPT002,NIPT2_1FAM,12.0544500350952,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,241.089004516602,,,14.0250024795532,10.087194442749,14126,144,13982,5,139,204,13778,0.245041919244264,,,,,,,,,,,NIPT2_1VIC,0.687395191325252,,,0.833309814803476,0.541480567847027,40.737059988027,,,45.8617217285101,35.612398247544,7158.60629950629,579.829902152377,646.893741966836,,,,,13.0594215393066,11.0503368377686,,,,,,,0.761841360091282,0.612949022559221,,,43.3516809472331,38.122439028821
C12,NIPT002,NIPT2_1VIC,17.5364189147949,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,350.728393554688,,,19.9163665771484,15.1612787246704,14126,209,13917,5,139,204,13778,0.245041919244264,,,,,,,,,,,,,,,,,,,,,,4334.72064471815,1071.32096056819,1119.6043057464,,,,,18.7500762939453,16.3240146636963,,,,,,,,,,,,
D12,NIPT002,NIPT2_1FAM,14.1792097091675,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,283.584197998047,,,16.2410507202148,12.1209735870361,15192,182,15010,3,179,256,14754,0,,,,,,,,,,,NIPT2_1VIC,0.700902396610622,,,0.833779929580035,0.56802486364121,41.2076788184499,,,45.8006399499746,36.6147176869252,7195.65400980855,582.022133016872,661.253373246999,,,,,15.2307176589966,13.1286392211914,,,,,,,0.76869701005035,0.633107783170894,,,43.5510247362815,38.8643329006183
D12,NIPT002,NIPT2_1VIC,20.2299346923828,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,404.598693847656,,,22.6963214874268,17.7687072753906,15192,259,14933,3,179,256,14754,0,,,,,,,,,,,,,,,,,,,,,,4312.34720378861,1075.29343919442,1130.48017728223,,,,,21.4876499176025,18.9735622406006,,,,,,,,,,,,
E12,NIPT002,NIPT2_1FAM,14.1299810409546,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,282.599609375,,,16.3859252929688,11.8783569335938,12648,151,12497,2,149,172,12325,0,,,,,,,,,,,NIPT2_1VIC,0.867018876748552,,,1.05602105968681,0.678016693810294,46.4386775916525,,,51.8608010539858,41.0165541293192,7166.35582768522,575.162504943569,653.85243155126,,,,,15.2804327011108,12.9806547164917,,,,,,,0.963448502669327,0.770589250827778,,,49.2050654134263,43.6722897698787
E12,NIPT002,NIPT2_1VIC,16.2972011566162,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,325.944030761719,,,18.7212734222412,13.8781156539917,12648,174,12474,2,149,172,12325,0,,,,,,,,,,,,,,,,,,,,,,4309.32830319459,1070.95231627195,1115.50302956452,,,,,17.5333499908447,15.062352180481,,,,,,,,,,,,
F12,NIPT002,NIPT2_1FAM,13.3719415664673,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,267.438842773438,,,15.4329309463501,11.3145570755005,14334,162,14172,3,159,236,13936,0.0252307198116869,,,,,,,,,,,NIPT2_1VIC,0.675984665175031,,,0.810822778178556,0.541146552171506,40.333582951037,,,45.1339294289824,35.5332364730916,7197.17657696759,584.08180195041,658.821675925065,,,,,14.4230155944824,12.3218059539795,,,,,,,0.744779569183235,0.607189761166827,,,42.7827374801258,37.8844284219482
F12,NIPT002,NIPT2_1VIC,19.7814273834229,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,395.628540039063,,,22.2920608520508,17.2761402130127,14334,239,14095,3,159,236,13936,0.0252307198116869,,,,,,,,,,,,,,,,,,,,,,4344.49062867743,1076.8430840521,1131.32667294322,,,,,21.0616931915283,18.5025520324707,,,,,,,,,,,,
G12,NIPT002,NIPT2_1FAM,13.7610111236572,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,275.22021484375,,,15.8499994277954,11.675724029541,14361,167,14194,4,163,207,13987,0.130072564538724,,,,,,,,,,,NIPT2_1VIC,0.790244224623432,,,0.950667528641735,0.629820920605128,44.1416994259348,,,49.1471467340103,39.1362521178593,7126.34979503883,583.525965627859,659.610610117214,,,,,14.8263568878174,12.6966276168823,,,,,,,0.872092754974718,0.708395694272146,,,46.6954961353582,41.5879027165113
G12,NIPT002,NIPT2_1VIC,17.4136180877686,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,348.272369384766,,,19.7656421661377,15.0662860870361,14361,211,14150,4,163,207,13987,0.130072564538724,,,,,,,,,,,,,,,,,,,,,,4371.00877633479,1078.35790183994,1126.7354058103,,,,,18.6130428314209,16.2154140472412,,,,,,,,,,,,
H12,NIPT002,NIPT2_1FAM,14.3823585510254,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,287.647155761719,,,16.5275287628174,12.2410926818848,14238,173,14065,4,169,227,13838,0.101448417370504,,,,,,,,,,,NIPT2_1VIC,0.747375734689225,,,0.894661553686903,0.600089915691547,42.7713238688271,,,47.5951132043427,37.9475345333115,7222.99850128703,581.31558975019,662.015908874776,,,,,15.4763441085815,13.2893886566162,,,,,,,0.822521492051961,0.67222997732649,,,45.2324386281599,40.3102091094943
H12,NIPT002,NIPT2_1VIC,19.2438125610352,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,384.876251220703,,,21.7281169891357,16.7647457122803,14238,231,14007,4,169,227,13838,0.101448417370504,,,,,,,,,,,,,,,,,,,,,,4328.22301559118,1073.3439497641,1126.15172221852,,,,,20.5106601715088,17.9783306121826,,,,,,,,,,,,
A10,NIPT002,RPP30-FAM,10.5082101821899,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,210.164199829102,,,12.3090829849243,8.71009063720703,14732,131,14601,0,131,114,14487,0,,,,,,,,,,,TERT-VIC,1.14979058112824,,,1.43844048716098,0.861140675095497,53.4838412272145,,,59.7295123063584,47.2381701480706,8659.73919072042,-348.146702909264,-268.046712950976,,,,,11.4266786575317,9.59045886993408,,,,,,,1.29706088829351,1.00252027396296,,,56.6704069563385,50.2972754980905
A10,NIPT002,TERT-VIC,9.13923835754395,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,182.784759521484,,,10.8181381225586,7.46273136138916,14732,114,14618,0,131,114,14487,0,,,,,,,,,,,,,,,,,,,,,,5574.79608261376,2673.84652231884,2696.29481514219,,,,,9.99552059173584,8.28357887268066,,,,,,,,,,,,
B10,NTC,NIPT2_1FAM,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,,,,,,16333,0,16333,0,0,0,16333,0,,,,,,,,,,,,,,,,,,,,,,0,484.554256950467,484.554256950467,,,,,,,,,,,,,,,,,,
B10,NTC,NIPT2_1VIC,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,,,,,,16333,0,16333,0,0,0,16333,0,,,,,,,,,,,,,,,,,,,,,,0,1024.52873239416,1024.52873239417,,,,,,,,,,,,,,,,,,
C10,NIPT002pooled,NIPT2_1FAM,14.9142761230469,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,298.285522460938,,,17.1785068511963,12.6543951034546,13257,167,13090,1,166,174,12916,0,,,,,,,,2297.35693359375,,,NIPT2_1VIC,0.953994634510984,,,1.15626923770009,0.751720031321877,48.8227868010362,,,54.1205753974391,43.5249982046333,7473.99344475112,567.149663245869,654.155992846186,,,,,16.0689525604248,13.7607326507568,,,,,,,1.05719592474621,0.850793344275762,,,51.5257391733174,46.119834428755
C10,NIPT002pooled,NIPT2_1VIC,15.6335010528564,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,312.670013427734,,,17.9520931243896,13.31946849823,13257,175,13082,1,166,174,12916,0,,,,,,,,3349.06323242188,,,,,,,,,,,,,,4452.29622628348,1072.37212524507,1116.98906102856,,,,,16.8158855438232,14.4523029327393,,,,,,,,,,,,
D10,NIPT002pooled,NIPT2_1FAM,13.0843925476074,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,261.687866210938,,,15.2015047073364,10.9710826873779,13291,147,13144,0,147,148,12996,0,,,,,,,,2242.38208007813,,,NIPT2_1VIC,0.993205580752111,,,1.21988884899418,0.766522312510045,49.8295605000934,,,55.5353438396565,44.1237771605303,5455.68040995695,350.771492825146,407.232376943599,,,,,14.1640758514404,12.0056991577148,,,,,,,1.108860197583,0.877550963921218,,,52.7406716331506,46.9184493670362
