Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A02,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.419333189725876,0,8407,0,8407,0,0,94,8313,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1080.17581119041,1080.1758111904,,,,,0.191592633724213,0,,,,,,,,,,,,
A02,NIPT006,NIPT6p3_VIC,13.2283973693848,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,264.567932128906,,,16.1082077026367,10.717791557312,8407,94,8313,0,0,94,8313,0,,,,,,,,,,,,,,,,,,,,,,3700.67700455037,1319.78075182155,1346.40193033429,,,,,14.6421995162964,11.9097290039063,,,,,,,,,,,,
B02,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.396769881248474,0,8885,0,8885,0,0,101,8784,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1084.49055903944,1084.49055903945,,,,,0.181284442543983,0,,,,,,,,,,,,
B02,NIPT006,NIPT6p3_VIC,13.4500904083252,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,269.001800537109,,,16.0761680603027,10.8298616409302,8885,101,8784,0,0,101,8784,0,,,,,,,,,,,,,,,,,,,,,,3732.44089137918,1322.85055268223,1350.24150644796,,,,,14.7891931533813,12.112509727478,,,,,,,,,,,,
C02,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.417297691106796,0,8448,0,8448,0,0,95,8353,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1092.64140592199,1092.64140592199,,,,,0.190662711858749,0,,,,,,,,,,,,
C02,NIPT006,NIPT6p3_VIC,13.3046712875366,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,266.093414306641,,,16.1849365234375,10.7918825149536,8448,95,8353,0,0,95,8353,0,,,,,,,,,,,,,,,,,,,,,,3754.12583778783,1336.12450577087,1363.31557188612,,,,,14.7188920974731,11.9851398468018,,,,,,,,,,,,
D02,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.407268494367599,0,8656,0,8656,0,0,124,8532,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1106.55555247027,1106.55555247026,,,,,0.186080813407898,0,,,,,,,,,,,,
D02,NIPT006,NIPT6p3_VIC,16.9752006530762,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,339.504028320313,,,19.9668884277344,13.9911041259766,8656,124,8532,0,0,124,8532,0,,,,,,,,,,,,,,,,,,,,,,3757.3566215269,1352.37168480095,1386.82387197216,,,,,18.5006217956543,15.451756477356,,,,,,,,,,,,
A01,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.232830554246902,0,15140,0,15140,0,0,197,14943,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1076.10858597346,1076.10858597345,,,,,0.106384478509426,0,,,,,,,,,,,,
A01,NIPT006,NIPT6p3_VIC,15.4085712432861,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,308.171417236328,,,17.5622749328613,13.2588033676147,15140,197,14943,0,0,197,14943,0,,,,,,,,,,,,,,,,,,,,,,3665.34289922569,1306.90351322493,1337.59126481291,,,,,16.5069065093994,14.3112592697144,,,,,,,,,,,,
B01,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.220383614301682,0,15995,0,15995,0,0,176,15819,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1069.24765938666,1069.24765938665,,,,,0.100697539746761,0,,,,,,,,,,,,
B01,NIPT006,NIPT6p3_VIC,13.0169696807861,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,260.339385986328,,,14.941686630249,11.0953960418701,15995,176,15819,0,0,176,15819,0,,,,,,,,,,,,,,,,,,,,,,3642.69796059348,1303.27123588988,1329.01297415483,,,,,13.9985752105713,12.0361824035645,,,,,,,,,,,,
C01,NIPT006,NIPT6p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.238035142421722,0,14809,0,14809,0,0,217,14592,0,,,,,,,,,,,NIPT6p3_VIC,,,,,,,,,,,0,1067.28457801309,1067.28457801309,,,,,0.108762420713902,0,,,,,,,,,,,,
C01,NIPT006,NIPT6p3_VIC,17.3666706085205,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,347.333404541016,,,19.6796607971191,15.0582208633423,14809,217,14592,0,0,217,14592,0,,,,,,,,,,,,,,,,,,,,,,3635.85938850086,1308.40238380432,1342.50719641957,,,,,18.546199798584,16.1883239746094,,,,,,,,,,,,
