Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,NIPT006,NIPT6m_10FAM,14.7521753311157,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,295.043518066406,,,16.8407497406006,12.6673030853271,15408,192,15216,2,190,184,15032,0,,,,,,,,,,,NIPT6m_10VIC,1.03246115616759,,,1.24065689598598,0.824265416349199,50.7985676889589,,,55.83853047941,45.7586048985079,8350.96343739828,197.524538821226,299.125023538699,,,,,15.817310333252,13.6880035400391,,,,,,,1.13868335840787,0.926238953927316,,,53.3699745163884,48.2271608615294
A01,NIPT006,NIPT6m_10VIC,14.2883586883545,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,285.767181396484,,,16.3436050415039,12.2366962432861,15408,186,15222,2,190,184,15032,0,,,,,,,,,,,,,,,,,,,,,,3527.72948103054,1040.86816810825,1070.88869018793,,,,,15.3365049362183,13.2411451339722,,,,,,,,,,,,
A02,NIPT006,NIPT6m_10FAM,14.5817031860352,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,291.634063720703,,,16.7079811096191,12.4592609405518,14694,181,14513,2,179,177,14336,0,,,,,,,,,,,NIPT6m_10VIC,1.01124276646751,,,1.22017242501311,0.802313107921903,50.2794979963372,,,55.4445072530699,45.1144887396045,8208.93192927745,191.632960004924,290.389671141328,,,,,15.6660585403442,13.4983463287354,,,,,,,1.11783944723879,0.90464608569622,,,52.9147047293272,47.6442912633472
A02,NIPT006,NIPT6m_10VIC,14.4195871353149,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,288.391754150391,,,16.5339298248291,12.3090381622314,14694,179,14515,2,179,177,14336,0,,,,,,,,,,,,,,,,,,,,,,3544.46785527235,1044.05779299314,1074.51739563013,,,,,15.4978590011597,13.342303276062,,,,,,,,,,,,
A03,NIPT006,NIPT6m_10FAM,14.8135137557983,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,296.270263671875,,,16.9386577606201,12.6922016143799,14945,187,14758,4,183,202,14556,0.114970578778374,,,,,,,,,,,NIPT6m_10VIC,0.907183696887911,,,1.08677976454647,0.727587629229349,47.5666658837441,,,52.5042189033474,42.6291128641408,8207.73036169368,202.137718005399,302.308064232881,,,,,15.897292137146,13.73073387146,,,,,,,0.998814299644566,0.815553094131256,,,50.0858243777336,45.0475073897545
A03,NIPT006,NIPT6m_10VIC,16.329122543335,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,326.582458496094,,,18.5611553192139,14.1013145446777,14945,206,14739,4,183,202,14556,0.114970578778374,,,,,,,,,,,,,,,,,,,,,,3461.34822926938,1056.20057617867,1089.35282887432,,,,,17.4673862457275,15.1919584274292,,,,,,,,,,,,
A04,NIPT006,NIPT6m_10FAM,15.0541639328003,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,301.083282470703,,,17.1269302368164,12.9850435256958,15966,203,15763,0,203,189,15574,0,,,,,,,,,,,NIPT6m_10VIC,1.07454992676788,,,1.28743735253779,0.861662500997982,51.7967735026756,,,56.7433215082986,46.8502254970527,8191.90375928456,198.324658361129,299.959166533963,,,,,16.1112422943115,13.9980354309082,,,,,,,1.18316593903626,0.965933914499505,,,54.3205219905059,49.2730250148454
A04,NIPT006,NIPT6m_10VIC,14.0097389221191,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,280.194763183594,,,16.0088024139404,12.0140657424927,15966,189,15777,0,203,189,15574,0,,,,,,,,,,,,,,,,,,,,,,3522.65426070602,1069.35347047438,1098.39479888185,,,,,15.0292453765869,12.991114616394,,,,,,,,,,,,
B01,NIPT006,NIPT6m_10FAM,13.8839511871338,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,277.679016113281,,,15.9547147750854,11.8168249130249,14746,173,14573,0,173,144,14429,0,,,,,,,,,,,NIPT6m_10VIC,1.2025814767446,,,1.46846924354553,0.936693709943658,54.59872833045,,,60.0794076431541,49.1180490177459,8325.30432622832,188.047345978733,283.513605139399,,,,,14.9400081634521,12.8288402557373,,,,,,,1.33823844058663,1.06692451290256,,,57.3949920484041,51.802464612496
B01,NIPT006,NIPT6m_10VIC,11.5451231002808,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,230.902465820313,,,13.4323463439941,9.66092109680176,14746,144,14602,0,173,144,14429,0,,,,,,,,,,,,,,,,,,,,,,3561.18127187093,1047.14880031266,1071.69923269463,,,,,12.5076131820679,10.5834178924561,,,,,,,,,,,,
