Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,NIPT004-2nd,NIPT4_2FAM,6.70355415344238,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,134.071075439453,,,8.72658157348633,5.02197551727295,8976,51,8925,0,51,35,8890,0,,,,,,,,,,,NIPT4_2VIC,1.45844733311319,,,2.09046547955409,0.826429186672295,59.3239201616869,,,69.780935139241,48.8669051841329,5149.74616076899,584.845343974992,610.782280434048,,,,,7.68587255477905,5.80924940109253,,,,,,,1.77846319590626,1.13843147032012,,,64.618721725735,54.0291185976389
A01,NIPT004-2nd,NIPT4_2VIC,4.59636354446411,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,91.9272689819336,,,6.30092096328735,3.23212790489197,8976,35,8941,0,51,35,8890,0,,,,,,,,,,,,,,,,,,,,,,2651.81181640625,965.092187196906,971.66919109868,,,,,5.41692924499512,3.86355113983154,,,,,,,,,,,,
B01,NIPT004-2nd,NIPT4_2FAM,7.36484432220459,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,147.296890258789,,,9.3641471862793,5.67433929443359,9935,62,9873,0,62,47,9826,0,,,,,,,,,,,NIPT4_2VIC,1.32014989599198,,,1.82383525164121,0.816464540342754,56.8993364727218,,,66.2561340981498,47.5425388472938,5121.71927765877,585.273869289884,613.583845668234,,,,,8.33938407897949,6.46981334686279,,,,,,,1.57529907790796,1.06500071407601,,,61.6391591272917,52.159513818152
B01,NIPT004-2nd,NIPT4_2VIC,5.57879400253296,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,111.575881958008,,,7.33815240859985,4.12718677520752,9935,47,9888,0,62,47,9826,0,,,,,,,,,,,,,,,,,,,,,,2617.74430165392,974.00629152835,981.78240491294,,,,,6.43159246444702,4.8053240776062,,,,,,,,,,,,
C01,NIPT004-2nd,NIPT4_2FAM,5.30429267883301,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,106.08585357666,,,6.85480976104736,4.00832939147949,12004,54,11950,0,54,65,11885,0,,,,,,,,,,,NIPT4_2VIC,0.830387042391296,,,1.13184022746067,0.52893385732192,45.366746112147,,,54.3644979612209,36.3689942630731,5011.66681134259,584.431339902997,604.34726088415,,,,,6.05806636810303,4.61613607406616,,,,,,,0.983110570467305,0.677663514315287,,,49.9252264175608,40.8082658067333
C01,NIPT004-2nd,NIPT4_2VIC,6.38773536682129,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,127.754707336426,,,8.07723617553711,4.95327472686768,12004,65,11939,0,54,65,11885,0,,,,,,,,,,,,,,,,,,,,,,2626.37856069712,978.90204884473,987.822906331434,,,,,7.21201658248901,5.62912225723267,,,,,,,,,,,,
D01,NIPT004-2nd,NIPT4_2FAM,5.79186725616455,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,115.837341308594,,,7.45204067230225,4.39983749389648,11403,56,11347,0,56,56,11291,0,,,,,,,,,,,NIPT4_2VIC,1,,,1.37263173853177,0.627368261468227,50,,,59.3157934632943,40.6842065367057,4997.82641601563,575.806578164417,597.523066011442,,,,,6.59961318969727,5.05326652526855,,,,,,,1.18878751257963,0.811212487420365,,,54.7196878144909,45.2803121855091
D01,NIPT004-2nd,NIPT4_2VIC,5.79186725616455,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,115.837341308594,,,7.45204067230225,4.39983749389648,11403,56,11347,0,56,56,11291,0,,,,,,,,,,,,,,,,,,,,,,2575.56559535435,977.693359966687,985.540491877737,,,,,6.59961318969727,5.05326652526855,,,,,,,,,,,,
E01,NIPT004-2nd,NIPT4_2FAM,5.31298780441284,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,106.259757995605,,,6.77951955795288,4.07584190368652,13316,60,13256,0,60,67,13189,0,,,,,,,,,,,NIPT4_2VIC,0.895286132330784,,,1.20890147729361,0.581670787367956,47.2375182331852,,,55.9681914746156,38.5068449917547,5074.44832356771,570.047500529776,590.343689278822,,,,,6.02755403518677,4.65757369995117,,,,,,,1.05420236526314,0.736369899398424,,,51.6615546356639,42.8134818307064
E01,NIPT004-2nd,NIPT4_2VIC,5.93440198898315,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,118.688041687012,,,7.47799491882324,4.62040901184082,13316,67,13249,0,60,67,13189,0,,,,,,,,,,,,,,,,,,,,,,2630.14036263993,979.222229197391,987.528891478906,,,,,6.68799686431885,5.23994827270508,,,,,,,,,,,,
F01,NIPT004-2nd,NIPT4_2FAM,5.6480655670166,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,112.961311340332,,,7.22161483764648,4.32264375686646,12319,59,12260,2,57,62,12198,0.163343959864223,,,,,,,,,,,NIPT4_2VIC,0.92168720121146,,,1.24960391749562,0.593770484927302,47.9623947451185,,,56.842092038057,39.08269745218,5051.3009053893,566.112764250863,587.59389910979,,,,,6.41455602645874,4.94555902481079,,,,,,,1.08784535771601,0.755529044706911,,,52.4618120033547,43.4629774868822
F01,NIPT004-2nd,NIPT4_2VIC,6.12796354293823,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,122.559272766113,,,7.76214075088501,4.7421669960022,12319,64,12255,2,57,62,12198,0.163343959864223,,,,,,,,,,,,,,,,,,,,,,2595.8542766571,979.788457253377,988.184285846757,,,,,6.92502737045288,5.39485359191895,,,,,,,,,,,,
G01,NIPT004-2nd,NIPT4_2FAM,5.51041126251221,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,110.208221435547,,,6.99194812774658,4.25552988052368,13482,63,13419,1,62,69,13350,0.0593006493229566,,,,,,,,,,,NIPT4_2VIC,0.899765453999584,,,1.20770001560322,0.591830892395948,47.3619231313689,,,55.8940727659858,38.829773496752,5118.17821490575,568.164220762036,589.425968398224,,,,,6.23287487030029,4.8463077545166,,,,,,,1.055808289026,0.743722618973164,,,51.6855067230314,43.0383395397064
G01,NIPT004-2nd,NIPT4_2VIC,6.12427520751953,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,122.485504150391,,,7.68018817901611,4.79522466659546,13482,70,13412,1,62,69,13350,0.0593006493229566,,,,,,,,,,,,,,,,,,,,,,2670.85355573382,981.971900482587,990.740756428856,,,,,6.88450717926025,5.42247915267944,,,,,,,,,,,,
H01,NIPT004-2nd,NIPT4_2FAM,6.90121984481812,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,138.024398803711,,,8.59127998352051,5.45007658004761,12823,75,12748,1,74,45,12703,0.0676980628885982,,,,,,,,,,,NIPT4_2VIC,1.63228673303149,,,2.23498363688227,1.02958982918071,62.0102176768431,,,70.7084813943991,53.3119539592872,5152.46753417969,572.890743141904,599.676071015863,,,,,7.72802972793579,6.13595104217529,,,,,,,1.93762920222134,1.32694426384164,,,66.4169921338107,57.6034432198756
H01,NIPT004-2nd,NIPT4_2VIC,4.22794580459595,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,84.5589141845703,,,5.57617568969727,3.11755847930908,12823,46,12777,1,74,45,12703,0.0676980628885982,,,,,,,,,,,,,,,,,,,,,,2674.83301311991,986.342827039714,992.399954744595,,,,,4.88123083114624,3.63594603538513,,,,,,,,,,,,
