Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A03,NIPT013,NIPT013_p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.270226955413818,0,13045,0,13045,0,0,95,12950,0,,,,,,,,1072.97790527344,,,NIPT013_p3_VIC,,,,,,,,,,,0,223.439029526628,223.439029526628,,,,,0.12347050011158,0,,,,,,,,,,,,
A03,NIPT013,NIPT013_p3_VIC,8.59897708892822,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,171.979537963867,,,10.4559946060181,6.97756433486938,13045,95,12950,0,0,95,12950,0,,,,,,,,2044.50036621094,,,,,,,,,,,,,,4174.40818256579,1017.53302755113,1040.52291944276,,,,,9.51098155975342,7.74768400192261,,,,,,,,,,,,
B03,NIPT013,NIPT013_p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.234847277402878,0,15010,0,15010,0,0,123,14887,0,,,,,,,,1046.50732421875,,,NIPT013_p3_VIC,,,,,,,,,,,0,221.68935478917,221.68935478917,,,,,0.107305906713009,0,,,,,,,,,,,,
B03,NIPT013,NIPT013_p3_VIC,9.68034839630127,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,193.606964111328,,,11.3923807144165,7.97080516815186,15010,123,14887,0,0,123,14887,0,,,,,,,,1994.12255859375,,,,,,,,,,,,,,4195.77066263338,1016.48124241273,1042.53404712207,,,,,10.5535230636597,8.80782222747803,,,,,,,,,,,,
C03,NIPT013,NIPT013_p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.229704812169075,0,15346,0,15346,0,0,130,15216,0,,,,,,,,1078.8603515625,,,NIPT013_p3_VIC,,,,,,,,,,,0,229.066768907248,229.066768907248,,,,,0.104956336319447,0,,,,,,,,,,,,
C03,NIPT013,NIPT013_p3_VIC,10.0086441040039,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,200.172882080078,,,11.7304286956787,8.28937721252441,15346,130,15216,0,0,130,15216,0,,,,,,,,2015.11340332031,,,,,,,,,,,,,,4223.88487830529,1019.87478508533,1047.0167968225,,,,,10.886791229248,9.13115310668945,,,,,,,,,,,,
D03,NIPT013,NIPT013_p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.279794037342072,0,12599,0,12599,0,0,99,12500,0,,,,,,,,1167.31286621094,,,NIPT013_p3_VIC,,,,,,,,,,,0,241.791878317015,241.791878317015,,,,,0.127841547131538,0,,,,,,,,,,,,
D03,NIPT013,NIPT013_p3_VIC,9.28094291687012,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,185.618865966797,,,11.2422943115234,7.56388998031616,12599,99,12500,0,0,99,12500,0,,,,,,,,2020.15112304688,,,,,,,,,,,,,,4290.34383877841,1028.59222392578,1054.22230646173,,,,,10.2448196411133,8.38001728057861,,,,,,,,,,,,
E03,NIPT013,NIPT013_p3_FAM,0,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,0,,,0.244864732027054,0,14396,0,14396,0,0,103,14293,0,,,,,,,,1052.3896484375,,,NIPT013_p3_VIC,,,,,,,,,,,0,223.109739845744,223.109739845744,,,,,0.111882798373699,0,,,,,,,,,,,,
E03,NIPT013,NIPT013_p3_VIC,8.44762706756592,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),VIC,168.952545166016,,,10.0802068710327,6.81730985641479,14396,103,14293,0,0,103,14293,0,,,,,,,,1964.73547363281,,,,,,,,,,,,,,4184.84408421192,1025.94743471967,1048.54859857752,,,,,9.28029346466064,7.61555051803589,,,,,,,,,,,,
